"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2020年06月22日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A1101","","A110101","","A110102","","A1301","","A130101","","A130102","","A1302","","A130201","","A130202","","A1303","","A130301","","A130302",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A110101_総人口（男）【人】","注釈","A110102_総人口（女）【人】","注釈","A1301_15歳未満人口【人】","注釈","A130101_15歳未満人口（男）【人】","注釈","A130102_15歳未満人口（女）【人】","注釈","A1302_15～64歳人口【人】","注釈","A130201_15～64歳人口（男）【人】","注釈","A130202_15～64歳人口（女）【人】","注釈","A1303_65歳以上人口【人】","注釈","A130301_65歳以上人口（男）【人】","注釈","A130302_65歳以上人口（女）【人】","注釈"
"2015100000","2015年度","01223","北海道 根室市","","26,917","","12,862","","14,055","","3,033","","1,570","","1,463","","15,533","","7,830","","7,703","","8,285","","3,413","","4,872",""
"2015100000","2015年度","01224","北海道 千歳市","","95,648","","48,588","","47,060","","13,573","","7,011","","6,562","","61,908","","32,634","","29,274","","19,979","","8,851","","11,128",""
"2015100000","2015年度","01225","北海道 滝川市","","41,192","","19,475","","21,717","","4,456","","2,327","","2,129","","23,001","","11,284","","11,717","","13,353","","5,615","","7,738",""
"2015100000","2015年度","01226","北海道 砂川市","","17,694","","8,216","","9,478","","1,758","","871","","887","","9,355","","4,573","","4,782","","6,390","","2,670","","3,720",""
"2015100000","2015年度","01227","北海道 歌志内市","","3,585","","1,652","","1,933","","217","","122","","95","","1,696","","864","","832","","1,672","","666","","1,006",""
"2015100000","2015年度","01228","北海道 深川市","","21,909","","10,118","","11,791","","1,995","","997","","998","","11,281","","5,551","","5,730","","8,616","","3,564","","5,052",""
"2015100000","2015年度","01229","北海道 富良野市","","22,936","","10,783","","12,153","","2,684","","1,348","","1,336","","13,092","","6,426","","6,666","","7,096","","2,973","","4,123",""
"2015100000","2015年度","01230","北海道 登別市","","49,625","","23,533","","26,092","","5,312","","2,726","","2,586","","26,948","","13,364","","13,584","","16,602","","7,052","","9,550",""
"2015100000","2015年度","01231","北海道 恵庭市","","69,702","","33,781","","35,921","","9,132","","4,571","","4,561","","42,897","","21,366","","21,531","","17,465","","7,716","","9,749",""
"2015100000","2015年度","01233","北海道 伊達市","","34,995","","16,279","","18,716","","3,966","","2,056","","1,910","","18,910","","9,131","","9,779","","12,107","","5,081","","7,026",""
"2015100000","2015年度","01234","北海道 北広島市","","59,064","","28,273","","30,791","","7,213","","3,688","","3,525","","34,586","","16,908","","17,678","","17,103","","7,572","","9,531",""
"2015100000","2015年度","01235","北海道 石狩市","","57,436","","27,548","","29,888","","7,415","","3,759","","3,656","","32,732","","16,156","","16,576","","17,229","","7,588","","9,641",""
"2015100000","2015年度","01236","北海道 北斗市","","46,390","","21,641","","24,749","","6,353","","3,224","","3,129","","27,723","","13,376","","14,347","","12,297","","5,031","","7,266",""
"2015100000","2015年度","01303","北海道 当別町","","17,278","","8,314","","8,964","","1,547","","802","","745","","10,453","","5,231","","5,222","","5,210","","2,243","","2,967",""
"2015100000","2015年度","01304","北海道 新篠津村","","3,329","","1,604","","1,725","","357","","182","","175","","1,872","","980","","892","","1,100","","442","","658",""
"2015100000","2015年度","01331","北海道 松前町","","7,337","","3,283","","4,054","","542","","280","","262","","3,421","","1,644","","1,777","","3,372","","1,357","","2,015",""
"2015100000","2015年度","01332","北海道 福島町","","4,422","","2,047","","2,375","","331","","150","","181","","2,238","","1,127","","1,111","","1,853","","770","","1,083",""
"2015100000","2015年度","01333","北海道 知内町","","4,653","","2,306","","2,347","","508","","262","","246","","2,553","","1,376","","1,177","","1,592","","668","","924",""
"2015100000","2015年度","01334","北海道 木古内町","","4,547","","2,150","","2,397","","307","","147","","160","","2,236","","1,192","","1,044","","2,004","","811","","1,193",""
"2015100000","2015年度","01337","北海道 七飯町","","28,120","","12,820","","15,300","","3,384","","1,711","","1,673","","15,672","","7,373","","8,299","","9,058","","3,733","","5,325",""
"2015100000","2015年度","01343","北海道 鹿部町","","4,226","","2,053","","2,173","","423","","214","","209","","2,285","","1,145","","1,140","","1,518","","694","","824",""
"2015100000","2015年度","01345","北海道 森町","","15,946","","7,324","","8,622","","1,795","","928","","867","","8,625","","4,157","","4,468","","5,526","","2,239","","3,287",""
"2015100000","2015年度","01346","北海道 八雲町","","17,252","","8,401","","8,851","","1,967","","1,011","","956","","9,895","","5,105","","4,790","","5,369","","2,273","","3,096",""
"2015100000","2015年度","01347","北海道 長万部町","","5,926","","2,869","","3,057","","507","","241","","266","","3,229","","1,735","","1,494","","2,190","","893","","1,297",""
"2015100000","2015年度","01361","北海道 江差町","","8,248","","3,910","","4,338","","818","","430","","388","","4,589","","2,357","","2,232","","2,839","","1,121","","1,718",""
"2015100000","2015年度","01362","北海道 上ノ国町","","4,876","","2,193","","2,683","","506","","256","","250","","2,427","","1,153","","1,274","","1,943","","784","","1,159",""
"2015100000","2015年度","01363","北海道 厚沢部町","","4,049","","1,918","","2,131","","440","","237","","203","","2,050","","1,019","","1,031","","1,556","","659","","897",""
"2015100000","2015年度","01364","北海道 乙部町","","3,906","","1,791","","2,115","","385","","190","","195","","1,943","","954","","989","","1,578","","647","","931",""
"2015100000","2015年度","01367","北海道 奥尻町","","2,690","","1,372","","1,318","","253","","137","","116","","1,442","","823","","619","","995","","412","","583",""
"2015100000","2015年度","01370","北海道 今金町","","5,628","","2,680","","2,948","","566","","278","","288","","2,965","","1,531","","1,434","","2,097","","871","","1,226",""
"2015100000","2015年度","01371","北海道 せたな町","","8,473","","3,952","","4,521","","749","","402","","347","","4,135","","2,094","","2,041","","3,589","","1,456","","2,133",""
"2015100000","2015年度","01391","北海道 島牧村","","1,499","","734","","765","","118","","62","","56","","773","","424","","349","","608","","248","","360",""
"2015100000","2015年度","01392","北海道 寿都町","","3,137","","1,528","","1,609","","319","","167","","152","","1,658","","887","","771","","1,160","","474","","686",""
"2015100000","2015年度","01393","北海道 黒松内町","","3,082","","1,415","","1,667","","348","","176","","172","","1,583","","812","","771","","1,151","","427","","724",""
"2015100000","2015年度","01394","北海道 蘭越町","","4,843","","2,322","","2,521","","506","","249","","257","","2,536","","1,307","","1,229","","1,801","","766","","1,035",""
